Year,Month,Day,Hour,Minu,temp_outside_C,rain,WS_ms,WD,IUV,Solar_Wm2
2024,11,21,13,45,9.44444,0.2,0,163,null,null
2024,11,21,14,00,10.0000,0.2,0,179,null,null
2024,11,21,14,15,10.0000,0.2,0,184,null,null
2024,11,21,14,45,10.0000,0.2,0,140,null,null
2024,11,21,14,45,10.0000,0.2,0,140,null,null
2024,11,21,15,01,10.5556,0.2,1,105,null,null
2024,11,21,15,30,10.5556,0.2,9,179,null,null
2024,11,21,15,30,10.5556,0.2,9,179,null,null
2024,11,21,15,45,11.1111,0.2,3,179,null,null
2024,11,21,16,15,10.5556,0.2,11,161,null,null
2024,11,21,16,15,10.5556,0.2,11,161,null,null
2024,11,21,16,45,7.77778,0.2,9,170,null,null
2024,11,21,16,45,7.77778,0.2,9,170,null,null
2024,11,21,17,01,6.11111,0.2,13,174,null,null
2024,11,21,17,30,5.55556,0.2,5,179,null,null
2024,11,21,17,30,5.55556,0.2,5,179,null,null
2024,11,21,17,45,5.55556,0.2,2,168,null,null
2024,11,21,18,15,5.00000,0.2,1,138,null,null
2024,11,21,18,15,5.00000,0.2,1,138,null,null
2024,11,21,18,30,5.00000,0.2,0,130,null,null
2024,11,21,18,45,5.00000,0.2,0,126,null,null
2024,11,21,19,15,5.00000,0.2,3,30,null,null
2024,11,21,19,15,5.00000,0.2,3,30,null,null
2024,11,21,19,45,5.00000,0.2,0,328,null,null
2024,11,21,19,45,5.00000,0.2,0,328,null,null
2024,11,21,20,15,6.11111,0.2,5,18,null,null
2024,11,21,20,15,6.11111,0.2,5,18,null,null
2024,11,21,20,45,6.66667,0.2,2,338,null,null
2024,11,21,20,45,6.66667,0.2,2,338,null,null
2024,11,21,21,01,6.11111,0.2,4,335,null,null
2024,11,21,21,30,5.55556,0.2,0,162,null,null
2024,11,21,21,30,5.55556,0.2,0,162,null,null
2024,11,21,22,00,5.55556,0.2,0,174,null,null
2024,11,21,22,15,5.00000,0.2,0,174,null,null
2024,11,21,22,15,5.00000,0.2,0,174,null,null
2024,11,21,22,45,5.55556,0.2,0,174,null,null
