Year,Month,Day,Hour,Minu,temp_outside_C,rain,WS_ms,WD,IUV,Solar_Wm2
2024,11,21,13,45,15.0000,0.2,4,175,3.7,383
2024,11,21,14,00,15.5556,0.2,0,249,4.6,497
2024,11,21,14,15,15.5556,0.2,6,231,5.8,675
2024,11,21,14,30,16.1111,0.2,0,247,4,506
2024,11,21,14,45,16.1111,0.2,3,190,3,401
2024,11,21,15,00,16.6667,0.2,0,129,2.6,353
2024,11,21,15,15,17.2222,0.2,0,199,2.4,360
2024,11,21,15,31,16.6667,0.2,0,185,1.4,229
2024,11,21,15,45,16.6667,0.2,0,168,1.5,241
2024,11,21,16,00,16.6667,0.2,0,122,0.5,81
2024,11,21,16,16,14.4444,0.2,0,111,0,39
2024,11,21,16,30,13.8889,0.2,0,318,0,23
2024,11,21,16,45,12.2222,0.2,6,228,0,19
2024,11,21,17,00,11.6667,0.2,2,218,0,19
2024,11,21,17,15,11.1111,0.2,8,169,0,14
2024,11,21,17,30,11.1111,0.2,0,175,0,26
2024,11,21,17,46,11.1111,0.2,0,202,0,42
2024,11,21,18,00,11.1111,0.2,0,129,0,32
2024,11,21,18,15,10.0000,0.2,0,312,0,19
2024,11,21,18,31,10.0000,0.2,0,340,0,12
2024,11,21,18,45,10.0000,0.2,0,349,0,0
2024,11,21,19,00,10.0000,0.2,0,348,0,0
2024,11,21,19,15,10.0000,0.2,0,349,0,0
2024,11,21,19,30,10.0000,0.2,0,351,0,0
2024,11,21,19,45,10.0000,0.2,0,69,0,0
2024,11,21,20,00,10.5556,0.2,0,70,0,0
2024,11,21,20,15,10.5556,0.2,0,70,0,0
2024,11,21,20,31,10.5556,0.2,0,70,0,0
2024,11,21,20,45,10.5556,0.2,0,72,0,0
2024,11,21,21,15,10.5556,0.2,0,73,0,0
2024,11,21,21,15,10.5556,0.2,0,73,0,0
2024,11,21,21,30,10.5556,0.2,0,71,0,0
2024,11,21,21,45,10.5556,0.2,0,70,0,0
2024,11,21,22,01,10.0000,0.2,0,70,0,0
2024,11,21,22,15,10.0000,0.2,0,70,0,0
2024,11,21,22,30,10.0000,0.4,0,70,0,0
2024,11,21,22,45,10.0000,0.4,0,70,0,0
2024,11,21,23,00,10.0000,0.4,0,70,0,0
2024,11,21,23,15,10.0000,0.4,0,70,0,0
2024,11,21,23,30,9.44444,0.4,0,70,0,0
2024,11,21,23,45,9.44444,0.4,0,72,0,0
2024,11,22,00,00,10.0000,0,0,72,0,0
2024,11,22,00,15,9.44444,0,0,72,0,0
2024,11,22,00,31,9.44444,0,0,72,0,0
2024,11,22,00,45,9.44444,0,0,72,0,0
2024,11,22,01,15,9.44444,0,0,72,0,0
2024,11,22,01,15,9.44444,0,0,72,0,0
2024,11,22,01,30,9.44444,0,0,72,0,0
2024,11,22,01,45,9.44444,0,0,72,0,0
2024,11,22,02,00,9.44444,0,0,72,0,0
2024,11,22,02,15,9.44444,0,0,72,0,0
2024,11,22,02,30,9.44444,0,0,72,0,0
2024,11,22,02,46,9.44444,0,0,72,0,0
2024,11,22,03,00,9.44444,0,0,72,0,0
2024,11,22,03,15,9.44444,0,0,70,0,0
2024,11,22,03,30,9.44444,0,0,70,0,0
2024,11,22,03,45,9.44444,0,0,70,0,0
2024,11,22,04,00,9.44444,0,0,70,0,0
2024,11,22,04,15,9.44444,0,0,70,0,0
2024,11,22,04,45,8.88889,0,0,70,0,0
2024,11,22,05,01,8.88889,0,0,70,0,0
2024,11,22,05,15,8.88889,0,0,70,0,0
2024,11,22,05,30,8.88889,0,0,70,0,0
2024,11,22,05,46,9.44444,0,0,69,0,0
2024,11,22,06,00,8.88889,0,0,69,0,5
